Accession,Description,Gene,MW [kDa],Control_3,Case_3
Q01968,Inositol polyphosphate 5-phosphatase OCRL OS=Homo sapiens OX=9606 GN=OCRL PE=1 SV=3,OCRL,104.1,35687165.2865265,34018690.56793151
P61978,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,HNRNPK,50.9,61921465.723142944,93540936.47599608
Q13885,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,TUBB2A,49.9,2829645.9791700025,989745.5273062307
Q9UHB6,LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1,LIMA1,85.2,34735333.37852445,34709005.31190114
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,MYH10,228.9,13066103.03188531,26959463.613910493
Q15652,Probable JmjC domain-containing histone demethylation protein 2C OS=Homo sapiens OX=9606 GN=JMJD1C PE=1 SV=2,JMJD1C,284.3,9362048.046232766,6098466.680850749
Q14676,Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens OX=9606 GN=MDC1 PE=1 SV=3,MDC1,226.5,6897457.279256465,5051279.287753336
P57737,Coronin-7 OS=Homo sapiens OX=9606 GN=CORO7 PE=1 SV=2,CORO7,100.5,37837234.77761482,13828418.968627876
O43491,Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1,EPB41L2,112.5,15173757.601230934,11382605.00333963
Q9BX63,Fanconi anemia group J protein OS=Homo sapiens OX=9606 GN=BRIP1 PE=1 SV=2,BRIP1,140.8,7228550.053808929,11053154.186390873
Q15424,Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4,SAFB,102.6,22925334.90089963,66939407.806336515
P33993,DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,MCM7,81.3,15854238.79034409,34874290.20352014
Q5VWN6,Protein TASOR 2 OS=Homo sapiens OX=9606 GN=TASOR2 PE=1 SV=1,TASOR2,268.7,6337642.561773292,6092148.585281973
Q9BQE3,Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1,TUBA1C,49.9,93471374.91766624,166275955.6840386
P02545,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,LMNA,74.1,29736811.815039676,67293696.07724833
P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,HSP90AB1,83.2,45779803.40616259,73701538.69224063
O00203,AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,AP3B1,121.2,29169358.29394344,24875239.76739024
Q96A49,Synapse-associated protein 1 OS=Homo sapiens OX=9606 GN=SYAP1 PE=1 SV=1,SYAP1,39.9,24097021.841377217,15400317.535599533
P63244,Small ribosomal subunit protein RACK1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3,RACK1,35.1,67278742.27317402,95583138.3158229
Q8N1G2,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 OS=Homo sapiens OX=9606 GN=CMTR1 PE=1 SV=1,CMTR1,95.3,28147943.715845447,15778203.869214766
Q86UE4,Protein LYRIC OS=Homo sapiens OX=9606 GN=MTDH PE=1 SV=2,MTDH,63.8,35349743.47443591,34985912.500941865
P0DMV9,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,HSPA1B,70.0,37846637.10903927,52115617.07993088
P04083,Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2,ANXA1,38.7,40131114.8366279,67025512.11289481
P49959,Double-strand break repair protein MRE11 OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=3,MRE11,80.5,38800488.05881446,36738609.53279898
P38398,Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2,BRCA1,207.6,14170058.41516105,10347863.676810803
Q9UBC2,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens OX=9606 GN=EPS15L1 PE=1 SV=1,EPS15L1,94.2,15383930.816725016,20147367.37155099
Q92576,PHD finger protein 3 OS=Homo sapiens OX=9606 GN=PHF3 PE=1 SV=3,PHF3,229.3,12031001.92447876,9771871.928738497
Q9NW82,WD repeat-containing protein 70 OS=Homo sapiens OX=9606 GN=WDR70 PE=1 SV=1,WDR70,73.2,24130391.476921055,19006287.757872045
P51825,AF4/FMR2 family member 1 OS=Homo sapiens OX=9606 GN=AFF1 PE=1 SV=1,AFF1,131.3,10394980.611869363,4692417.745288252
P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5,EPRS1,170.5,12580889.208720546,24795249.2866765
P36578,Large ribosomal subunit protein uL4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,RPL4,47.7,82147704.99985592,97564337.65447657
Q8IVT2,Mitotic interactor and substrate of PLK1 OS=Homo sapiens OX=9606 GN=MISP PE=1 SV=1,MISP,75.3,1766998295.2585711,9584247.893233579
Q15233,Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4,NONO,54.2,51948288.72662332,45606658.17473363
Q12802,A-kinase anchor protein 13 OS=Homo sapiens OX=9606 GN=AKAP13 PE=1 SV=2,AKAP13,307.4,5302311.664851307,7026419.489797117
O95425,Supervillin OS=Homo sapiens OX=9606 GN=SVIL PE=1 SV=2,SVIL,247.6,8222629.969987259,8255715.334028543
Q96GD4,Aurora kinase B OS=Homo sapiens OX=9606 GN=AURKB PE=1 SV=3,AURKB,39.3,26452097.97315086,17993179.424128707
P68366,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,TUBA4A,49.9,18427709.935019054,36656115.04772796
P82094,TATA element modulatory factor OS=Homo sapiens OX=9606 GN=TMF1 PE=1 SV=2,TMF1,122.8,8127672.612814567,5815048.595561823
O75152,Zinc finger CCCH domain-containing protein 11A OS=Homo sapiens OX=9606 GN=ZC3H11A PE=1 SV=3,ZC3H11A,89.1,18967567.78222016,21259372.916420735
P61011,Signal recognition particle subunit SRP54 OS=Homo sapiens OX=9606 GN=SRP54 PE=1 SV=1,SRP54,55.7,10945662.011077996,6067824.874101975
Q2M2I8,AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3,AAK1,103.8,13440557.165585546,14660281.725828752
O60271,C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens OX=9606 GN=SPAG9 PE=1 SV=4,SPAG9,146.1,13228802.999757819,15149568.883574292
Q8NC51,SERPINE1 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2,SERBP1,44.9,55766603.28018964,68834958.4311457
Q14151,Scaffold attachment factor B2 OS=Homo sapiens OX=9606 GN=SAFB2 PE=1 SV=1,SAFB2,107.4,29812212.48197901,21234331.544853255
P37802,Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3,TAGLN2,22.4,208687773.1554975,287789412.7585616
P40763,Signal transducer and activator of transcription 3 OS=Homo sapiens OX=9606 GN=STAT3 PE=1 SV=2,STAT3,88.0,12478785.512878165,8918909.368608523
P19338,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,NCL,76.6,50586851.27786638,70900368.12457804
O95163,Elongator complex protein 1 OS=Homo sapiens OX=9606 GN=ELP1 PE=1 SV=3,ELP1,150.2,7634714.342437417,8694302.955482474
O60716,Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1,CTNND1,108.1,8424551.829066532,7374536.629882643
Q9Y2X9,Zinc finger protein 281 OS=Homo sapiens OX=9606 GN=ZNF281 PE=1 SV=1,ZNF281,96.9,10538787.744333765,5795759.734685447
Q7Z6E9,E3 ubiquitin-protein ligase RBBP6 OS=Homo sapiens OX=9606 GN=RBBP6 PE=1 SV=1,RBBP6,201.4,17818683.090573266,21318745.666327886
P14923,Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3,JUP,81.7,9791273.686368814,9059054.737781916
Q9H0A0,RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2,NAT10,115.7,17414567.638993207,16833065.24042984
Q5T0N5,Formin-binding protein 1-like OS=Homo sapiens OX=9606 GN=FNBP1L PE=1 SV=3,FNBP1L,70.0,21491681.386728704,24171203.26707165
Q5T6F2,Ubiquitin-associated protein 2 OS=Homo sapiens OX=9606 GN=UBAP2 PE=1 SV=1,UBAP2,117.0,16582761.09973885,12032366.210954504
P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1,GSPT1,55.7,55084648.31688954,42109100.60751399
P38919,Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4,EIF4A3,46.8,26574940.02349751,20864550.324834492
Q6PKG0,La-related protein 1 OS=Homo sapiens OX=9606 GN=LARP1 PE=1 SV=2,LARP1,123.4,12517164.126275286,9723805.604648346
Q8WUM0,Nuclear pore complex protein Nup133 OS=Homo sapiens OX=9606 GN=NUP133 PE=1 SV=2,NUP133,128.9,5242535.136450132,6721123.758888108
P06748,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,NPM1,32.6,83938578.09243912,79243117.47209382
Q8IWX8,Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens OX=9606 GN=CHERP PE=1 SV=3,CHERP,103.6,31001171.997690793,28647997.919723872
Q9BQG0,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,MYBBP1A,148.8,13968796.74556455,24072187.79399645
Q6ULP2,Aftiphilin OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=3,AFTPH,102.1,13645471.3808927,14633952.09883444
Q96AC1,Fermitin family homolog 2 OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1,FERMT2,77.8,15473355.977983644,13754664.378601285
Q9UHB7,AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1,AFF4,127.4,10932950.986489808,7290227.862651115
O75400,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2,PRPF40A,108.7,41890504.46358264,37118771.38526584
Q9P0V3,SH3 domain-binding protein 4 OS=Homo sapiens OX=9606 GN=SH3BP4 PE=1 SV=1,SH3BP4,107.4,14847973.200433455,20597549.4930577
Q13263,Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5,TRIM28,88.5,26512591.257997125,25270677.61286659
Q8N1G0,Zinc finger protein 687 OS=Homo sapiens OX=9606 GN=ZNF687 PE=1 SV=1,ZNF687,129.4,11646749.308627846,17362846.96955507
Q8NI35,InaD-like protein OS=Homo sapiens OX=9606 GN=PATJ PE=1 SV=3,PATJ,196.2,10071649.053151855,4568933.105375412
P49756,RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3,RBM25,100.1,22893745.510704838,20213006.012751948
Q8N1F7,Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2,NUP93,93.4,8320007.564294437,11304259.133347323
P08195,Amino acid transporter heavy chain SLC3A2 OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3,SLC3A2,68.0,22510211.966084115,39240930.314789146
O60841,Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4,EIF5B,138.7,9437341.498711715,14100958.6649244
P49411,"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=3",TUFM,49.8,34593450.56363394,35895729.89285947
Q02241,Kinesin-like protein KIF23 OS=Homo sapiens OX=9606 GN=KIF23 PE=1 SV=3,KIF23,110.0,9370570.21654066,12051536.658973608
P63010,AP-2 complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1,AP2B1,104.5,14616403.746159017,9595967.083936578
O95373,Importin-7 OS=Homo sapiens OX=9606 GN=IPO7 PE=1 SV=1,IPO7,119.4,17129420.67317465,19121830.07420061
O60563,Cyclin-T1 OS=Homo sapiens OX=9606 GN=CCNT1 PE=1 SV=1,CCNT1,80.6,17597130.787418023,15811693.137970308
Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2,HNRNPUL1,95.7,18090781.271132547,27294853.595224187
A3KN83,Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1,SBNO1,154.2,5134488.6177803455,5963515.994186882
P52701,DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2,MSH6,152.7,10147172.732560802,9486245.146874748
Q9UM82,Spermatogenesis-associated protein 2 OS=Homo sapiens OX=9606 GN=SPATA2 PE=1 SV=2,SPATA2,58.4,18377772.977002345,26176472.629682798
O75116,Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=4,ROCK2,160.8,10519908.11437557,7544308.916066835
O00151,PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4,PDLIM1,36.0,17804776.51300355,20935341.213079214
Q15366,Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1,PCBP2,38.6,47883495.8935407,49529806.641840324
Q9H4G0,Band 4.1-like protein 1 OS=Homo sapiens OX=9606 GN=EPB41L1 PE=1 SV=2,EPB41L1,98.4,16058301.432928914,10252900.40841404
Q96PK6,RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2,RBM14,69.4,29298883.272560462,33537591.825265724
Q12965,Unconventional myosin-Ie OS=Homo sapiens OX=9606 GN=MYO1E PE=1 SV=2,MYO1E,127.0,7622785.721599857,6010180.257731981
O00429,Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2,DNM1L,81.8,8617903.830071969,10033293.492764046
Q14677,Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1,CLINT1,68.2,34264400.50871162,31186211.96274409
Q9UHD8,Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,SEPTIN9,65.4,31558356.570133477,26255696.32426716
P35240,Merlin OS=Homo sapiens OX=9606 GN=NF2 PE=1 SV=1,NF2,69.6,25219921.183287382,13009174.374030972
Q92945,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,KHSRP,73.1,33125467.145274,24806764.952137135
Q9NXV6,CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3,CDKN2AIP,61.1,14185839.860109234,14116305.776072212
Q9Y3F4,Serine-threonine kinase receptor-associated protein OS=Homo sapiens OX=9606 GN=STRAP PE=1 SV=1,STRAP,38.4,29025545.401655138,25128255.09502994
P49750,YLP motif-containing protein 1 OS=Homo sapiens OX=9606 GN=YLPM1 PE=1 SV=4,YLPM1,241.5,7894214.715346131,6148377.790736346
Q96JP5,E3 ubiquitin-protein ligase ZFP91 OS=Homo sapiens OX=9606 GN=ZFP91 PE=1 SV=1,ZFP91,63.4,60263812.84910316,50144961.2542826
Q7L2E3,ATP-dependent RNA helicase DHX30 OS=Homo sapiens OX=9606 GN=DHX30 PE=1 SV=1,DHX30,133.9,7597361.603484521,11522744.215446867
Q8WWM7,Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=2,ATXN2L,113.3,14678101.357820554,10352546.14574324
Q9BZE4,GTP-binding protein 4 OS=Homo sapiens OX=9606 GN=GTPBP4 PE=1 SV=3,GTPBP4,73.9,9568348.16967714,13942841.061096491
Q15650,Activating signal cointegrator 1 OS=Homo sapiens OX=9606 GN=TRIP4 PE=1 SV=4,TRIP4,66.1,23251481.148904502,20110859.047781575
P49368,T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4,CCT3,60.5,17106967.538636874,26341617.397743933
O60231,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Homo sapiens OX=9606 GN=DHX16 PE=1 SV=2,DHX16,119.2,10758984.196437258,6887238.667291369
P39023,Large ribosomal subunit protein uL3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,RPL3,46.1,46639566.227710344,58590012.750993334
Q9H9J4,Ubiquitin carboxyl-terminal hydrolase 42 OS=Homo sapiens OX=9606 GN=USP42 PE=1 SV=3,USP42,145.3,13827528.354460709,17702951.110582884
P98175,RNA-binding protein 10 OS=Homo sapiens OX=9606 GN=RBM10 PE=1 SV=3,RBM10,103.5,19671506.780076575,19307520.40863119
Q14692,Ribosome biogenesis protein BMS1 homolog OS=Homo sapiens OX=9606 GN=BMS1 PE=1 SV=1,BMS1,145.7,11035581.623205978,15794528.203342894
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2,SMCHD1,226.2,11182163.177275365,5994870.219768456
Q9NVM9,Integrator complex subunit 13 OS=Homo sapiens OX=9606 GN=INTS13 PE=1 SV=2,INTS13,80.2,13922056.553668004,4286401.92936929
Q7KZF4,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,SND1,101.9,12856489.208955763,8643618.26858571
Q86TC9,Myopalladin OS=Homo sapiens OX=9606 GN=MYPN PE=1 SV=2,MYPN,145.2,8001772.708996429,8221520.678775566
Q99590,Protein SCAF11 OS=Homo sapiens OX=9606 GN=SCAF11 PE=1 SV=2,SCAF11,164.6,10993492.546578508,4985440.753174201
O00159,Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,MYO1C,121.6,11682435.581103355,18195010.668455146
Q14004,Cyclin-dependent kinase 13 OS=Homo sapiens OX=9606 GN=CDK13 PE=1 SV=2,CDK13,164.8,8079588.389637929,12746815.889650954
Q03701,CCAAT/enhancer-binding protein zeta OS=Homo sapiens OX=9606 GN=CEBPZ PE=1 SV=3,CEBPZ,120.9,12284496.046255423,15167834.242868528
Q14974,Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2,KPNB1,97.1,13355821.541835906,12046005.007879417
Q13123,Protein Red OS=Homo sapiens OX=9606 GN=IK PE=1 SV=3,IK,65.6,32956165.755109217,19405956.56415666
Q12931,"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=3",TRAP1,80.1,15081773.55838494,21127673.98565339
Q15942,Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1,ZYX,61.2,16717020.257692888,16522091.909801282
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,ATP2A2,114.7,17956414.477267597,25744235.136638556
P55196,Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3,AFDN,206.7,10912265.223903095,6370064.104571897
O43865,S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,AHCYL1,58.9,26967694.905697238,28859294.8886615
P30876,DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=1,POLR2B,133.8,15300921.307473877,8075857.833844932
Q9BSJ8,Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,ESYT1,122.8,8369723.362953136,10914385.67604567
Q9Y4E8,Ubiquitin carboxyl-terminal hydrolase 15 OS=Homo sapiens OX=9606 GN=USP15 PE=1 SV=3,USP15,112.3,7602571.945292167,2318919.2664789567
O15014,Zinc finger protein 609 OS=Homo sapiens OX=9606 GN=ZNF609 PE=1 SV=2,ZNF609,151.1,10730786.327206416,14813591.526197808
P78371,T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4,CCT2,57.5,8795995.669348938,13120534.855293168
Q96KR1,Zinc finger RNA-binding protein OS=Homo sapiens OX=9606 GN=ZFR PE=1 SV=2,ZFR,116.9,6822250.492331795,7408967.446852836
P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3,PPP1CB,37.2,8564180.496644747,9027080.489602135
Q9BXF6,Rab11 family-interacting protein 5 OS=Homo sapiens OX=9606 GN=RAB11FIP5 PE=1 SV=1,RAB11FIP5,70.4,5278292.033817353,2764719.5287537677
Q9UGU0,Transcription factor 20 OS=Homo sapiens OX=9606 GN=TCF20 PE=1 SV=3,TCF20,211.6,5732348.696233093,3423716.4563287753
Q9H2G2,STE20-like serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=SLK PE=1 SV=1,SLK,142.6,10614672.274794307,8531399.057684993
P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,HSP90AA1,84.6,5738728.026867701,9685078.64446528
P52597,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3,HNRNPF,45.6,22098418.401050724,27733930.864406534
Q5T1M5,FK506-binding protein 15 OS=Homo sapiens OX=9606 GN=FKBP15 PE=1 SV=2,FKBP15,133.5,8005018.146267097,6796988.995217053
P31943,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4,HNRNPH1,49.2,38689689.19999317,60104831.028901964
Q6W2J9,BCL-6 corepressor OS=Homo sapiens OX=9606 GN=BCOR PE=1 SV=1,BCOR,192.1,5317518.018202741,10163837.239205938
Q32MZ4,Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens OX=9606 GN=LRRFIP1 PE=1 SV=2,LRRFIP1,89.2,10551673.74751894,8449339.812803552
O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1,SMARCA5,121.8,12876145.776578931,24939414.27435631
Q08J23,RNA cytosine C(5)-methyltransferase NSUN2 OS=Homo sapiens OX=9606 GN=NSUN2 PE=1 SV=2,NSUN2,86.4,11379558.312847817,60322665.35337535
P17275,Transcription factor JunB OS=Homo sapiens OX=9606 GN=JUNB PE=1 SV=1,JUNB,35.9,53507560.89662589,71683276.0286549
Q96A19,Coiled-coil domain-containing protein 102A OS=Homo sapiens OX=9606 GN=CCDC102A PE=1 SV=2,CCDC102A,62.6,16556035.555160558,16346336.685731169
P43243,Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2,MATR3,94.6,11758159.245174022,12865295.89113871
Q8WXI9,Transcriptional repressor p66-beta OS=Homo sapiens OX=9606 GN=GATAD2B PE=1 SV=1,GATAD2B,65.2,16360038.441235233,10249995.218881782
O14776,Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2,TCERG1,123.8,10268901.872543331,8886247.762464887
P08240,Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2,SRPRA,69.8,15926438.821481131,7986917.001114692
P15311,Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4,EZR,69.4,35260570.94084147,3005749.593911683
Q9BRR8,G patch domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GPATCH1 PE=1 SV=1,GPATCH1,103.3,9967159.602491014,494060907.8397221
P68133,"Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1",ACTA1,42.0,18159135.09365515,35456263.702331625
Q16513,Serine/threonine-protein kinase N2 OS=Homo sapiens OX=9606 GN=PKN2 PE=1 SV=1,PKN2,112.0,6938988.432010637,2748880.6571587613
Q8NE71,ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2,ABCF1,95.9,16712235.22332535,12000904.910773104
Q96QC0,Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PPP1R10 PE=1 SV=1,PPP1R10,99.0,9772448.385215204,5525347.505956982
P62136,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 SV=1,PPP1CA,37.5,31294827.38559013,30040338.26821779
Q14566,DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1,MCM6,92.8,7890607.392554385,19265599.842620853
P51114,RNA-binding protein FXR1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3,FXR1,69.7,16826010.85109055,15768112.216453353
Q68DQ2,Very large A-kinase anchor protein OS=Homo sapiens OX=9606 GN=CRYBG3 PE=1 SV=3,CRYBG3,330.4,4615713.603420607,4954482.833393279
P47756,F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=5,CAPZB,30.6,33386859.23081112,41611981.76222423
Q9Y263,Phospholipase A-2-activating protein OS=Homo sapiens OX=9606 GN=PLAA PE=1 SV=2,PLAA,87.1,5370266.370529947,7390369.6059862
Q29RF7,Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1,PDS5A,150.7,5890020.146273238,2979521.9005681677
Q9P2J5,"Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=LARS1 PE=1 SV=2",LARS1,134.4,5954093.998188256,9659806.00061547
Q5QJE6,Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens OX=9606 GN=DNTTIP2 PE=1 SV=2,DNTTIP2,84.4,10325070.717365565,10073852.079522736
P50991,T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,CCT4,57.9,10078830.289202487,25839236.1522775
Q12906,Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3,ILF3,95.3,14411381.128667261,25145159.833248883
Q13470,Non-receptor tyrosine-protein kinase TNK1 OS=Homo sapiens OX=9606 GN=TNK1 PE=1 SV=3,TNK1,72.4,15423037.415669585,5009996.843298743
P04150,Glucocorticoid receptor OS=Homo sapiens OX=9606 GN=NR3C1 PE=1 SV=1,NR3C1,85.6,14484191.07534743,27055088.02243712
P48444,Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1,ARCN1,57.2,13954846.988472432,14247490.038484462
P40227,T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,CCT6A,58.0,26265725.805928007,34756556.95757563
Q13619,Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A PE=1 SV=3,CUL4A,87.6,2610805.37811826,10839010.852048127
Q92621,Nuclear pore complex protein Nup205 OS=Homo sapiens OX=9606 GN=NUP205 PE=1 SV=3,NUP205,227.8,3410619.9014389245,8926626.446189273
P33176,Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,KIF5B,109.6,8692354.751858125,6844556.858523309
Q6P1J9,Parafibromin OS=Homo sapiens OX=9606 GN=CDC73 PE=1 SV=1,CDC73,60.5,21360523.874787506,9554531.79936918
